| infectadas: 15.0 | suseptibles a infectarse: 5.0 | Recuperados: 0.0

Persona	time	x	y
Persona 8	1.4	98.0	69.0
Persona 9	1.4	30.0	7.0
Persona 10	1.4	53.0	62.0
Persona 11	1.4	71.0	52.0
Persona 12	1.4	99.0	55.0
Persona 13	1.4	37.0	36.0
Persona 14	1.4	10.0	0.0
Persona 15	1.4	24.0	89.0
Persona 16	1.4	6.0	48.0
Persona 17	1.4	84.0	86.0
Persona 18	1.4	97.0	90.0
Persona 19	1.4	39.0	23.0
Persona 20	1.4	30.0	100.0
Persona 1	1.5999999999999999	63.0	97.0
Persona 2	1.5999999999999999	26.0	68.0
Persona 3	1.5999999999999999	35.0	29.0
Persona 4	1.5999999999999999	50.0	57.0
Persona 5	1.5999999999999999	60.0	83.0
Persona 6	1.5999999999999999	49.0	57.0
Persona 7	1.5999999999999999	54.0	26.0
Persona 8	1.5999999999999999	98.0	70.0
Persona 9	1.5999999999999999	31.0	7.0
Persona 10	1.5999999999999999	52.0	62.0
Persona 11	1.5999999999999999	71.0	53.0
Persona 12	1.5999999999999999	100.0	55.0
Persona 13	1.5999999999999999	38.0	35.0
Persona 14	1.5999999999999999	11.0	0.0
Persona 15	1.5999999999999999	25.0	89.0
Persona 16	1.5999999999999999	5.0	48.0
Persona 17	1.5999999999999999	83.0	87.0
Persona 18	1.5999999999999999	96.0	90.0
Persona 19	1.5999999999999999	40.0	22.0
Persona 20	1.5999999999999999	29.0	100.0
Persona 1	1.7999999999999998	62.0	98.0
Persona 2	1.7999999999999998	25.0	69.0
Persona 3	1.7999999999999998	35.0	28.0
Persona 4	1.7999999999999998	51.0	57.0
Persona 5	1.7999999999999998	59.0	82.0
Persona 6	1.7999999999999998	50.0	57.0
Persona 7	1.7999999999999998	53.0	25.0
Persona 8	1.7999999999999998	98.0	71.0
Persona 9	1.7999999999999998	32.0	8.0
Persona 10	1.7999999999999998	51.0	61.0
Persona 11	1.7999999999999998	71.0	54.0
Persona 12	1.7999999999999998	100.0	56.0
Persona 13	1.7999999999999998	39.0	35.0
Persona 14	1.7999999999999998	12.0	0.0
Persona 15	1.7999999999999998	26.0	90.0
Persona 16	1.7999999999999998	4.0	47.0
Persona 17	1.7999999999999998	82.0	88.0
Persona 18	1.7999999999999998	95.0	89.0
Persona 19	1.7999999999999998	41.0	22.0
Persona 20	1.7999999999999998	28.0	99.0
Persona 1	1.9999999999999998	61.0	98.0
Persona 2	1.9999999999999998	24.0	69.0
Persona 3	1.9999999999999998	36.0	27.0
Persona 4	1.9999999999999998	52.0	57.0
Persona 5	1.9999999999999998	58.0	81.0
Persona 6	1.9999999999999998	51.0	57.0
Persona 7	1.9999999999999998	53.0	24.0
Persona 8	1.9999999999999998	97.0	72.0
Persona 9	1.9999999999999998	33.0	9.0
Persona 10	1.9999999999999998	50.0	60.0
Persona 11	1.9999999999999998	70.0	55.0
Persona 12	1.9999999999999998	100.0	57.0
Persona 13	1.9999999999999998	40.0	35.0
Persona 14	1.9999999999999998	13.0	0.0
Persona 15	1.9999999999999998	27.0	91.0
Persona 16	1.9999999999999998	3.0	46.0
Persona 17	1.9999999999999998	81.0	88.0
Persona 18	1.9999999999999998	94.0	88.0
Persona 19	1.9999999999999998	42.0	22.0
Persona 20	1.9999999999999998	27.0	98.0
Persona 1	2.1999999999999997	60.0	97.0
Persona 2	2.1999999999999997	23.0	68.0
Persona 3	2.1999999999999997	37.0	26.0
Persona 4	2.1999999999999997	53.0	58.0
Persona 5	2.1999999999999997	58.0	80.0
Persona 6	2.1999999999999997	52.0	58.0
Persona 7	2.1999999999999997	53.0	23.0
Persona 8	2.1999999999999997	96.0	73.0
Persona 9	2.1999999999999997	33.0	10.0
Persona 10	2.1999999999999997	50.0	59.0
Persona 11	2.1999999999999997	69.0	56.0
Persona 12	2.1999999999999997	100.0	58.0
Persona 13	2.1999999999999997	41.0	36.0
Persona 14	2.1999999999999997	14.0	1.0
Persona 15	2.1999999999999997	27.0	92.0
Persona 16	2.1999999999999997	3.0	45.0
Persona 17	2.1999999999999997	80.0	87.0
Persona 18	2.1999999999999997	94.0	87.0
Persona 19	2.1999999999999997	43.0	23.0
Persona 20	2.1999999999999997	27.0	97.0
Persona 1	2.4	59.0	96.0
Persona 2	2.4	22.0	67.0
Persona 3	2.4	38.0	26.0
Persona 4	2.4	54.0	59.0
Persona 5	2.4	58.0	79.0
Persona 6	2.4	53.0	59.0
Persona 7	2.4	54.0	22.0
Persona 8	2.4	95.0	73.0
Persona 9	2.4	33.0	11.0
Persona 10	2.4	50.0	58.0
Persona 11	2.4	68.0	56.0
Persona 12	2.4	100.0	59.0
Persona 13	2.4	42.0	37.0
Persona 14	2.4	15.0	2.0
Persona 15	2.4	27.0	93.0
Persona 16	2.4	3.0	44.0
Persona 17	2.4	79.0	86.0
Persona 18	2.4	94.0	86.0
Persona 19	2.4	44.0	24.0
Persona 20	2.4	27.0	96.0
Persona 1	2.6	58.0	95.0
Persona 2	2.6	21.0	66.0
Persona 3	2.6	39.0	26.0
Persona 4	2.6	54.0	60.0
Persona 5	2.6	59.0	78.0
Persona 6	2.6	53.0	60.0
Persona 7	2.6	55.0	21.0
Persona 8	2.6	94.0	73.0
Persona 9	2.6	32.0	12.0
Persona 10	2.6	51.0	57.0
Persona 11	2.6	67.0	56.0
Persona 12	2.6	99.0	60.0
Persona 13	2.6	42.0	38.0
Persona 14	2.6	15.0	3.0
Persona 15	2.6	26.0	94.0
Persona 16	2.6	4.0	43.0
Persona 17	2.6	78.0	85.0
Persona 18	2.6	95.0	85.0
Persona 19	2.6	44.0	25.0
Persona 20	2.6	28.0	95.0
Persona 1	2.8000000000000003	58.0	94.0
Persona 2	2.8000000000000003	21.0	65.0
Persona 3	2.8000000000000003	40.0	27.0
Persona 4	2.8000000000000003	54.0	61.0
Persona 5	2.8000000000000003	60.0	77.0
Persona 6	2.8000000000000003	53.0	61.0
Persona 7	2.8000000000000003	56.0	21.0
Persona 8	2.8000000000000003	93.0	72.0
Persona 9	2.8000000000000003	31.0	13.0
Persona 10	2.8000000000000003	52.0	56.0
Persona 11	2.8000000000000003	66.0	55.0
Persona 12	2.8000000000000003	98.0	61.0
Persona 13	2.8000000000000003	42.0	39.0
Persona 14	2.8000000000000003	15.0	4.0
Persona 15	2.8000000000000003	25.0	95.0
Persona 16	2.8000000000000003	5.0	42.0
Persona 17	2.8000000000000003	78.0	84.0
Persona 18	2.8000000000000003	96.0	84.0
Persona 19	2.8000000000000003	44.0	26.0
Persona 20	2.8000000000000003	29.0	94.0
Persona 1	3.0000000000000004	59.0	93.0
Persona 2	3.0000000000000004	22.0	64.0
Persona 3	3.0000000000000004	41.0	28.0
Persona 4	3.0000000000000004	53.0	62.0
Persona 5	3.0000000000000004	61.0	77.0
Persona 6	3.0000000000000004	52.0	62.0
Persona 7	3.0000000000000004	57.0	21.0
Persona 8	3.0000000000000004	92.0	71.0
Persona 9	3.0000000000000004	30.0	13.0
Persona 10	3.0000000000000004	53.0	56.0
Persona 11	3.0000000000000004	65.0	54.0
Persona 12	3.0000000000000004	97.0	61.0
Persona 13	3.0000000000000004	41.0	40.0
Persona 14	3.0000000000000004	14.0	5.0
Persona 15	3.0000000000000004	24.0	95.0
Persona 16	3.0000000000000004	6.0	42.0
Persona 17	3.0000000000000004	79.0	83.0
Persona 18	3.0000000000000004	97.0	84.0
Persona 19	3.0000000000000004	43.0	27.0
Persona 20	3.0000000000000004	30.0	94.0
Persona 1	3.2000000000000006	60.0	92.0
Persona 2	3.2000000000000006	23.0	63.0
Persona 3	3.2000000000000006	41.0	29.0
Persona 4	3.2000000000000006	52.0	63.0
Persona 5	3.2000000000000006	62.0	77.0
Persona 6	3.2000000000000006	51.0	63.0
Persona 7	3.2000000000000006	58.0	22.0
Persona 8	3.2000000000000006	92.0	70.0
Persona 9	3.2000000000000006	29.0	12.0
Persona 10	3.2000000000000006	54.0	56.0
Persona 11	3.2000000000000006	65.0	53.0
Persona 12	3.2000000000000006	96.0	60.0
Persona 13	3.2000000000000006	40.0	41.0
Persona 14	3.2000000000000006	13.0	6.0
Persona 15	3.2000000000000006	23.0	94.0
Persona 16	3.2000000000000006	7.0	42.0
Persona 17	3.2000000000000006	80.0	82.0
Persona 18	3.2000000000000006	98.0	84.0
Persona 19	3.2000000000000006	42.0	28.0
Persona 20	3.2000000000000006	31.0	94.0
Persona 1	3.400000000000001	61.0	91.0
Persona 2	3.400000000000001	24.0	62.0
Persona 3	3.400000000000001	41.0	30.0
Persona 4	3.400000000000001	51.0	63.0
Persona 5	3.400000000000001	63.0	78.0
Persona 6	3.400000000000001	50.0	63.0
Persona 7	3.400000000000001	59.0	23.0
Persona 8	3.400000000000001	92.0	69.0
Persona 9	3.400000000000001	28.0	11.0
Persona 10	3.400000000000001	55.0	57.0
Persona 11	3.400000000000001	65.0	52.0
Persona 12	3.400000000000001	95.0	59.0
Persona 13	3.400000000000001	39.0	41.0
Persona 14	3.400000000000001	12.0	6.0
Persona 15	3.400000000000001	22.0	93.0
Persona 16	3.400000000000001	8.0	43.0
Persona 17	3.400000000000001	81.0	81.0
Persona 18	3.400000000000001	99.0	85.0
Persona 19	3.400000000000001	41.0	28.0
Persona 20	3.400000000000001	32.0	95.0
Persona 1	3.600000000000001	62.0	91.0
Persona 2	3.600000000000001	25.0	62.0
Persona 3	3.600000000000001	40.0	31.0
Persona 4	3.600000000000001	50.0	63.0
Persona 5	3.600000000000001	64.0	79.0
Persona 6	3.600000000000001	49.0	63.0
Persona 7	3.600000000000001	59.0	24.0
Persona 8	3.600000000000001	93.0	68.0
Persona 9	3.600000000000001	27.0	10.0
Persona 10	3.600000000000001	56.0	58.0
Persona 11	3.600000000000001	66.0	51.0
Persona 12	3.600000000000001	94.0	58.0
Persona 13	3.600000000000001	38.0	41.0
Persona 14	3.600000000000001	11.0	6.0
Persona 15	3.600000000000001	21.0	92.0
Persona 16	3.600000000000001	9.0	44.0
Persona 17	3.600000000000001	82.0	81.0
Persona 18	3.600000000000001	100.0	86.0
Persona 19	3.600000000000001	40.0	28.0
Persona 20	3.600000000000001	33.0	96.0
Persona 1	3.800000000000001	63.0	92.0
Persona 2	3.800000000000001	26.0	63.0
Persona 3	3.800000000000001	39.0	32.0
Persona 4	3.800000000000001	49.0	62.0
Persona 5	3.800000000000001	64.0	80.0
Persona 6	3.800000000000001	48.0	62.0
Persona 7	3.800000000000001	59.0	25.0
Persona 8	3.800000000000001	94.0	67.0
Persona 9	3.800000000000001	27.0	9.0
Persona 10	3.800000000000001	56.0	59.0
Persona 11	3.800000000000001	67.0	50.0
Persona 12	3.800000000000001	94.0	57.0
Persona 13	3.800000000000001	37.0	40.0
Persona 14	3.800000000000001	10.0	5.0
Persona 15	3.800000000000001	21.0	91.0
Persona 16	3.800000000000001	9.0	45.0
Persona 17	3.800000000000001	83.0	82.0
Persona 18	3.800000000000001	100.0	87.0
Persona 19	3.800000000000001	39.0	27.0
Persona 20	3.800000000000001	33.0	97.0
Persona 1	4.000000000000001	64.0	93.0
Persona 2	4.000000000000001	27.0	64.0
Persona 3	4.000000000000001	38.0	32.0
Persona 4	4.000000000000001	48.0	61.0
Persona 5	4.000000000000001	64.0	81.0
Persona 6	4.000000000000001	47.0	61.0
Persona 7	4.000000000000001	58.0	26.0
Persona 8	4.000000000000001	95.0	67.0
Persona 9	4.000000000000001	28.0	8.0
Persona 10	4.000000000000001	56.0	60.0
Persona 11	4.000000000000001	68.0	50.0
Persona 12	4.000000000000001	95.0	56.0
Persona 13	4.000000000000001	36.0	39.0
Persona 14	4.000000000000001	9.0	4.0
Persona 15	4.000000000000001	22.0	90.0
Persona 16	4.000000000000001	9.0	46.0
Persona 17	4.000000000000001	84.0	83.0
Persona 18	4.000000000000001	100.0	88.0
Persona 19	4.000000000000001	38.0	26.0
Persona 20	4.000000000000001	33.0	98.0
Persona 1	4.200000000000001	64.0	94.0
Persona 2	4.200000000000001	27.0	65.0
Persona 3	4.200000000000001	37.0	31.0
Persona 4	4.200000000000001	48.0	60.0
Persona 5	4.200000000000001	63.0	82.0
Persona 6	4.200000000000001	47.0	60.0
Persona 7	4.200000000000001	57.0	27.0
Persona 8	4.200000000000001	96.0	67.0
Persona 9	4.200000000000001	29.0	7.0
Persona 10	4.200000000000001	55.0	61.0
Persona 11	4.200000000000001	69.0	50.0
Persona 12	4.200000000000001	96.0	55.0
Persona 13	4.200000000000001	36.0	38.0
Persona 14	4.200000000000001	9.0	3.0
Persona 15	4.200000000000001	23.0	89.0
Persona 16	4.200000000000001	8.0	47.0
Persona 17	4.200000000000001	84.0	84.0
Persona 18	4.200000000000001	99.0	89.0
Persona 19	4.200000000000001	38.0	25.0
Persona 20	4.200000000000001	32.0	99.0
Persona 1	4.400000000000001	64.0	95.0
Persona 2	4.400000000000001	27.0	66.0
Persona 3	4.400000000000001	36.0	30.0
Persona 4	4.400000000000001	48.0	59.0
Persona 5	4.400000000000001	62.0	83.0
Persona 6	4.400000000000001	47.0	59.0
Persona 7	4.400000000000001	56.0	27.0
